date,rate
1992-10-21,3.135500
1992-10-22,3.128500
1992-10-23,3.125200
1992-10-26,3.119000
1992-10-27,3.118100
1992-10-28,3.136400
1992-10-29,3.132100
1992-10-30,3.130900
1992-11-03,3.125600
1992-11-04,3.125800
1992-11-05,3.127100
1992-11-06,3.125300
1992-11-09,3.118800
1992-11-10,3.124900
1992-11-11,3.119700
1992-11-12,3.114800
1992-11-13,3.115600
1992-11-16,3.113000
1992-11-17,3.119500
1992-11-18,3.116800
1992-11-19,3.115000
1992-11-23,3.114300
1992-11-24,3.119400
1992-11-25,3.119300
1992-11-26,3.113800
1992-11-27,3.115900
1992-11-30,3.114900
1992-12-01,3.114100
1992-12-02,3.117000
1992-12-03,3.116000
1992-12-04,3.113900
1992-12-07,3.115800
1992-12-08,3.117600
1992-12-09,3.113200
1992-12-10,3.112800
1992-12-11,3.111700
1992-12-14,3.113700
1992-12-15,3.116900
1992-12-16,3.137200
1992-12-17,3.135200
1992-12-18,3.120400
1992-12-21,3.120500
1992-12-22,3.117900
1992-12-23,3.124500
1992-12-24,3.119500
1992-12-28,3.113400
1992-12-29,3.115400
1992-12-30,3.123000
1993-01-04,3.120900
1993-01-05,3.117000
1993-01-06,3.118000
1993-01-07,3.112400
1993-01-08,3.106300
1993-01-11,3.110800
1993-01-12,3.116900
1993-01-13,3.109600
1993-01-14,3.113000
1993-01-15,3.113000
1993-01-18,3.110300
1993-01-19,3.109500
1993-01-20,3.108200
1993-01-21,3.105100
1993-01-22,3.105100
1993-01-25,3.104400
1993-01-26,3.104400
1993-01-27,3.098900
1993-01-28,3.093900
1993-01-29,3.103000
1993-02-01,3.114000
1993-02-02,3.101900
1993-02-03,3.099900
1993-02-04,3.101700
1993-02-08,3.101200
1993-02-09,3.098100
1993-02-10,3.097700
1993-02-11,3.097500
1993-02-12,3.100900
1993-02-15,3.096700
1993-02-16,3.100000
1993-02-17,3.097700
1993-02-18,3.098600
1993-02-19,3.094300
1993-02-22,3.095000
1993-02-23,3.094000
1993-02-24,3.093900
1993-02-25,3.093800
1993-02-26,3.097400
1993-03-01,3.098700
1993-03-02,3.093900
1993-03-03,3.093900
1993-03-04,3.094800
1993-03-05,3.096100
1993-03-08,3.101000
1993-03-09,3.102100
1993-03-10,3.113000
1993-03-11,3.117400
1993-03-12,3.119700
1993-03-15,3.119600
1993-03-16,3.118200
1993-03-17,3.120000
1993-03-18,3.119000
1993-03-19,3.116900
1993-03-22,3.112400
1993-03-23,3.117200
1993-03-24,3.114900
1993-03-25,3.111900
1993-03-26,3.111400
1993-03-29,3.104900
1993-03-30,3.097600
1993-03-31,3.093700
1993-04-01,3.093700
1993-04-02,3.094000
1993-04-05,3.093700
1993-04-06,3.093700
1993-04-07,3.094000
1993-04-12,3.098500
1993-04-13,3.096200
1993-04-14,3.100700
1993-04-15,3.098900
1993-04-16,3.094000
1993-04-19,3.094000
1993-04-20,3.093600
1993-04-21,3.093500
1993-04-22,3.093400
1993-04-23,3.093700
1993-04-26,3.094600
1993-04-27,3.097600
1993-04-28,3.096100
1993-04-29,3.102200
1993-04-30,3.115200
1993-05-03,3.113900
